ceg,potencia_outorgada_mw,potencia_fiscalizada_mw,fase_usina,proprietario
EOL.CV.RN.044337-9.1,31.5,0.0,Construção não iniciada,100% para EOLICA ESQUINA DO VENTO I SPE LTDA - 23.554.151/0001-97 (PIE)
EOL.CV.RN.044338-7.1,31.5,0.0,Construção não iniciada,100% para EOLICA ESQUINA DO VENTO II SPE LTDA - 58.308.105/0001-92 (PIE)
EOL.CV.RN.044343-3.1,31.5,0.0,Construção não iniciada,100% para EOLICA ESQUINA DO VENTO III SPE LTDA - 58.405.724/0001-03 (PIE)
EOL.CV.RN.044344-1.1,27.0,0.0,Construção,100% para EOLICA ESQUINA DO VENTO IV SPE LTDA - 58.558.769/0001-00 (PIE)
EOL.CV.RN.044956-3.1,37.2,0.0,Construção não iniciada,"99.9900% para EDP RENOVAVEIS BRASIL S/A - 09.334.083/0001-20 (PIE), 0.0100% para DGE SOLUCOES RENOVAVEIS LTDA - 08.922.006/0001-28 (PIE)"
EOL.CV.RN.044957-1.1,43.4,0.0,Construção não iniciada,"99.9900% para EDP RENOVAVEIS BRASIL S/A - 09.334.083/0001-20 (PIE), 0.0100% para DGE SOLUCOES RENOVAVEIS LTDA - 08.922.006/0001-28 (PIE)"
EOL.CV.RN.044974-1.1,22.5,22.5,Operação,100% para CENTRAL GERADORA EÓLICA SERIDÓ I S.A. - 38.263.175/0001-64 (PIE)
EOL.CV.RN.044975-0.1,22.5,22.5,Operação,100% para CENTRAL GERADORA EÓLICA SERIDÓ II S.A. - 39.372.597/0001-30 (PIE)
EOL.CV.RN.044976-8.1,27.0,27.0,Operação,100% para CENTRAL GERADORA EÓLICA SERIDÓ III S A. - 38.262.963/0001-36 (PIE)
EOL.CV.RN.045010-3.1,64.9,64.9,Operação,100% para Ventos de São Luís Energias Renováveis S.A. - 35.859.036/0001-00 (PIE)
EOL.CV.RN.045011-1.1,66.1,66.1,Operação,100% para VENTOS DE SÃO LUDGERO ENERGIAS RENOVÁVEIS S.A. - 35.896.824/0001-76 (PIE)
EOL.CV.RN.045012-0.1,66.1,66.1,Operação,100% para Ventos de São Lucio I Energias Renováveis S.A. - 35.865.649/0001-50 (PIE)
EOL.CV.RN.046742-1.1,27.72,27.72,Operação,100% para TODA ENERGIA DO BRASIL LTDA - 36.160.050/0001-83 (PIE)
EOL.CV.RN.047140-2.1,37.2,0.0,Construção não iniciada,"99.9900% para EDP RENOVAVEIS BRASIL S/A - 09.334.083/0001-20 (PIE), 0.0100% para DGE SOLUCOES RENOVAVEIS LTDA - 08.922.006/0001-28 (PIE)"
